"Symb","Proportion","Orders","Buys","AtAsk","AtBid","NetPrems","PremsChng","AvgExpD","OTM%","OTMScore","Unusual%","SpotChng","Ivol%"
"FIVE","47%","7","100.0","1.25M","0.00","1.25M","100.0%","117.0","100.0%","12.5","7.0","0","36.18"
"UBER","79%","63","63.5","2.74M","1.59M","1.15M","100.0%","210.0","49.2%","7.2","0.4","0","46.94"
"ARKK","37%","61","59.0","2.55M","1.45M","1.10M","100.0%","33.4","59.0%","-0.7","1.7","0","55.69"
"SGEN","100%","16","87.5","1.43M","449.50K","978.13K","-11799.4%","43.9","87.5%","-7.8","11.7","0","80.87"
"ZM","67%","18","83.3","1.15M","169.34K","977.61K","100.0%","48.1","83.3%","13.4","2.0","0","71.7"
"PDD","68%","17","52.9","1.57M","623.30K","945.50K","100.0%","73.1","52.9%","4.2","0.7","0","59.34"
"KWEB","77%","23","82.6","1.05M","163.44K","888.71K","100.0%","24.4","82.6%","4.4","2.6","0","47.55"
"ALB","47%","7","57.1","1.21M","344.00K","864.37K","100.0%","60.0","42.9%","-2.8","1.4","0","45.17"
"JD","47%","17","76.5","996.75K","158.84K","837.91K","-198.7%","71.8","76.5%","3.8","1.2","0","50.22"
"BRK/B","67%","6","66.7","1.10M","273.60K","828.59K","100.0%","172.5","66.7%","4.4","0.6","0","21.64"
"BABA","67%","67","55.2","4.50M","3.72M","787.98K","-224.4%","80.3","52.2%","11.3","0.5","0","51.01"
"F","54%","22","77.3","942.13K","189.44K","752.69K","-285.8%","100.0","68.2%","0.6","1.9","0","37.09"
"SHEL","56%","5","80.0","857.52K","122.80K","734.72K","100.0%","184.4","80.0%","2.8","0.7","0","23.88"
"CFLT","100%","24","62.5","3.08M","2.35M","734.38K","-717.0%","105.4","62.5%","5.9","7.5","0","84.84"
"TQQQ","72%","58","55.2","2.18M","1.47M","712.96K","-343.1%","138.8","53.4%","4.9","0.6","0","72.91"
"INMD","100%","5","100.0","684.90K","0.00","684.90K","100.0%","29.0","100.0%","1.2","1.5","0","54.36"
"UAL","57%","4","50.0","806.83K","161.82K","645.00K","-323.6%","102.5","50.0%","5.6","0.7","0","37.68"
"NIO","69%","22","59.1","1.18M","579.78K","604.49K","-626.9%","134.3","59.1%","0.2","1.6","0","77.54"
"CAT","42%","8","62.5","819.56K","225.06K","594.50K","-323.3%","103.4","62.5%","-2.1","1.3","0","30.1"
"PFE","52%","12","50.0","983.11K","390.92K","592.19K","100.0%","163.8","50.0%","-3.4","1.1","0","29.1"
"NKE","68%","19","68.4","1.09M","530.71K","558.33K","100.0%","150.2","68.4%","1.5","2.3","0","31.41"
"TWLO","79%","92","55.4","3.96M","3.40M","554.92K","-2310.3%","84.0","51.1%","3.9","5.0","0","78.3"
"GM","44%","14","71.4","669.44K","118.67K","550.77K","100.0%","143.5","64.3%","1.7","0.7","0","34.33"
"LCID","54%","13","92.3","604.10K","92.16K","511.94K","-346.6%","235.8","92.3%","-1.9","4.3","0","104.34"
"CVS","77%","10","80.0","556.56K","56.33K","500.23K","100.0%","241.1","80.0%","5.4","0.6","0","21.92"
"FOUR","62%","8","87.5","505.00K","33.25K","471.75K","-134.8%","36.9","87.5%","13.8","5.8","0","80.41"
"FXI","71%","17","70.6","914.42K","511.93K","402.50K","-34.6%","61.1","70.6%","1.8","1.4","0","30.93"
"AFRM","27%","3","100.0","391.25K","0.00","391.25K","-181.3%","234.3","100.0%","30.2","0.2","0","113.18"
"CPRI","83%","5","40.0","610.14K","228.72K","381.42K","-10.7%","146.6","40.0%","2.9","0.3","0","44.26"
"CVE","85%","28","46.4","880.38K","501.04K","379.34K","-740.5%","32.3","46.4%","-0.6","5.9","0","41.06"
"QCOM","56%","15","60.0","671.74K","304.27K","367.47K","100.0%","97.6","60.0%","4.2","1.4","0","35.36"
"ROKU","69%","171","53.2","5.69M","5.35M","340.19K","100.0%","31.5","49.1%","7.3","8.1","0","90.84"
"ARCH","100%","8","100.0","339.85K","0.00","339.85K","100.0%","22.9","100.0%","-0.1","13.3","0","60"
"RNG","30%","7","57.1","455.01K","118.75K","336.26K","100.0%","32.0","57.1%","-1.5","1.8","0","74.67"
"COST","78%","7","57.1","545.48K","215.42K","330.06K","100.0%","22.0","57.1%","-2.8","1.0","0","27.75"
"GSK","75%","6","100.0","314.25K","0.00","314.25K","21.2%","131.7","100.0%","3.9","1.6","0","23.94"
"BTU","61%","22","54.5","807.57K","497.35K","310.22K","-4.0%","144.8","45.5%","5.6","0.7","0","60.26"
"RTX","88%","14","71.4","558.33K","261.78K","296.55K","-242.5%","100.0","71.4%","-0.5","2.3","0","23.14"
"XLE","46%","17","70.6","537.91K","248.34K","289.57K","-57.1%","29.4","70.6%","4.1","0.7","0","26.94"
"DOCN","100%","6","66.7","418.61K","129.42K","289.18K","100.0%","178.3","16.7%","61.3","2.5","0","88.58"
"TGTX","94%","15","80.0","398.24K","109.25K","288.99K","-1431.0%","92.5","80.0%","5.7","4.3","0","95.8"
"ET","79%","19","63.2","1.48M","1.20M","286.02K","45.7%","472.6","63.2%","-1.8","5.0","0","27.55"
"BBWI","40%","2","100.0","284.20K","0.00","284.20K","-4403.2%","8.0","100.0%","5.2","5.0","0","72.33"
"CVNA","79%","19","68.4","528.53K","251.27K","277.25K","-62.0%","102.7","68.4%","21.9","0.8","0","223.83"
"NTR","75%","6","66.7","551.35K","276.79K","274.56K","100.0%","76.8","66.7%","6.5","6.7","0","36.77"
"WBA","83%","5","80.0","274.09K","26.26K","247.83K","100.0%","64.0","80.0%","3.2","2.0","0","26.54"
"DDOG","36%","16","62.5","988.39K","745.50K","242.89K","100.0%","275.8","62.5%","17.3","0.8","0","78.4"
"BAC","33%","28","46.4","1.17M","933.04K","233.91K","-202.1%","243.5","46.4%","-0.5","0.6","0","24.76"
"NUE","85%","11","63.6","586.89K","354.94K","231.94K","-338.9%","47.5","63.6%","-2.3","2.9","0","43.61"
"OXY","63%","19","57.9","882.73K","664.59K","218.14K","54.4%","166.8","57.9%","4.1","0.5","0","41.67"
"APA","33%","3","100.0","217.08K","0.00","217.08K","-181.4%","337.0","100.0%","5.7","0.8","0","57.72"
"CI","50%","3","100.0","216.07K","0.00","216.07K","-623.9%","26.7","100.0%","-0.1","1.7","0","23.7"
"SMG","83%","10","60.0","713.77K","509.96K","203.81K","-474.7%","26.9","60.0%","1.4","5.0","0","57.48"
"GNRC","60%","6","83.3","222.03K","39.27K","182.76K","68.5%","241.3","83.3%","54.6","0.8","0","53.01"
"PBF","63%","12","50.0","753.85K","573.60K","180.25K","-114.7%","143.9","50.0%","7.2","4.3","0","56.04"
"QSR","60%","3","100.0","177.56K","0.00","177.56K","-5393.8%","1.0","100.0%","-8.8","7.5","0","70.3"
"GME","77%","10","70.0","332.71K","159.60K","173.11K","100.0%","55.6","60.0%","-5.9","1.4","0","93.16"
"NVO","14%","1","100.0","164.00K","0.00","164.00K","100.0%","120.0","100.0%","0.5","2.5","0","28.7"
"CAG","17%","1","100.0","156.00K","0.00","156.00K","-762.8%","29.0","100.0%","0.5","1.7","0","21.64"
"LYFT","67%","4","75.0","182.55K","30.00K","152.55K","88.2%","268.8","75.0%","61.4","0.1","0","95.21"
"PHG","29%","2","100.0","151.18K","0.00","151.18K","-1002.2%","1.0","100.0%","-12.6","10.0","0","69.17"
"MET","60%","3","66.7","210.00K","59.24K","150.76K","100.0%","64.0","66.7%","3.5","5.0","0","20.99"
"CMCSA","62%","5","100.0","149.10K","0.00","149.10K","-282.3%","155.0","100.0%","0.2","2.3","0","26.38"
"RIOT","77%","10","80.0","325.20K","176.68K","148.51K","100.0%","59.8","70.0%","25.9","3.5","0","129.5"
"AKAM","39%","9","66.7","266.26K","123.15K","143.11K","-2532.6%","302.8","66.7%","21.4","7.5","0","31.38"
"KHC","60%","3","100.0","133.60K","0.00","133.60K","100.0%","8.0","100.0%","0.9","5.0","0","21.23"
"UVXY","62%","5","80.0","159.65K","30.00K","129.65K","100.0%","76.6","80.0%","4.2","1.1","0","99.14"
"JPM","26%","12","58.3","421.10K","292.24K","128.87K","100.0%","82.1","58.3%","2.8","0.6","0","23.17"
"ZS","60%","6","83.3","233.55K","108.73K","124.82K","65.5%","10.3","83.3%","1.1","0.9","0","63.63"
"FDX","25%","2","100.0","124.50K","0.00","124.50K","100.0%","15.0","100.0%","1.2","0.6","0","33.06"
"SHOP","45%","105","45.7","3.15M","3.03M","123.72K","100.0%","185.8","45.7%","14.6","2.2","0","73.78"
"AA","67%","6","66.7","173.24K","56.09K","117.14K","63.4%","94.3","66.7%","21.5","1.0","0","50.53"
"PBR","57%","4","75.0","145.70K","32.00K","113.70K","28.8%","198.8","50.0%","8","0.3","0","48.23"
"PINS","46%","12","58.3","323.53K","211.58K","111.95K","100.0%","192.9","58.3%","19.6","0.9","0","53.2"
"W","20%","2","100.0","110.21K","0.00","110.21K","-47.1%","228.5","100.0%","36.8","0.5","0","100.02"
"RBLX","59%","26","57.7","958.23K","850.18K","108.04K","87.2%","78.3","57.7%","1","0.6","0","69.43"
"CRSR","100%","6","66.7","179.67K","73.34K","106.33K","-962.6%","234.3","66.7%","7.8","6.7","0","45.15"
"PYPL","65%","24","45.8","885.25K","782.38K","102.86K","57.6%","67.8","41.7%","2.3","0.3","0","40.13"
"NXPI","60%","3","66.7","228.84K","130.46K","98.39K","-54.0%","45.3","66.7%","3.5","1.4","0","32"
"PARA","53%","16","56.3","397.41K","301.06K","96.35K","100.0%","277.5","50.0%","-1","1.6","0","54.69"
"DOW","83%","5","60.0","182.23K","86.05K","96.18K","-100.6%","282.4","60.0%","-3.4","0.8","0","27.76"
"SNAP","65%","32","50.0","1.53M","1.43M","91.87K","100.0%","207.1","50.0%","29.1","1.7","0","75.09"
"CHWY","100%","5","60.0","159.67K","69.41K","90.26K","34.3%","30.4","60.0%","1.3","0.8","0","59.37"
"TTD","69%","25","48.0","660.58K","572.32K","88.26K","83.9%","72.7","40.0%","5.2","0.5","0","60.56"
"SAM","33%","2","100.0","87.90K","0.00","87.90K","100.0%","1.0","100.0%","1.4","5.0","0","72.46"
"AEM","44%","7","42.9","291.65K","209.27K","82.38K","100.0%","271.0","42.9%","36.9","3.0","0","41.9"
"KO","59%","17","52.9","441.35K","359.85K","81.50K","100.0%","174.8","47.1%","-0.5","4.4","0","16.56"
"GLD","63%","26","53.8","950.76K","870.04K","80.72K","94.6%","28.2","53.8%","0.5","0.8","0","13.85"
"AGNC","80%","4","75.0","124.16K","49.20K","74.96K","-38.1%","456.0","75.0%","-1.1","2.5","0","28.06"
"MRO","70%","7","42.9","223.75K","154.96K","68.80K","100.0%","62.0","42.9%","-5.3","1.3","0","40.08"
"WFC","36%","14","57.1","527.15K","462.82K","64.33K","100.0%","153.0","57.1%","3.1","0.8","0","24.89"
"LQD","8%","1","100.0","60.00K","0.00","60.00K","75.4%","29.0","100.0%","2.8","0.8","0","11.99"
"IYR","10%","1","100.0","53.38K","0.00","53.38K","100.0%","29.0","100.0%","0.9","2.5","0","24.48"
"EBAY","20%","1","100.0","50.25K","0.00","50.25K","100.0%","1.0","100.0%","-0.8","1.0","0","49.17"
"HYG","9%","5","40.0","142.00K","92.68K","49.32K","100.0%","50.0","40.0%","0.1","0.3","0","10.09"
"XHB","11%","1","100.0","45.40K","0.00","45.40K","62.2%","29.0","100.0%","0","5.0","0","32.15"
"ATVI","92%","11","72.7","491.42K","446.70K","44.72K","78.3%","289.3","72.7%","3.8","0.4","0","27.67"
"ORCL","80%","8","37.5","260.48K","215.82K","44.66K","76.9%","62.3","37.5%","-0.9","0.3","0","28.57"
"GTLB","67%","4","50.0","162.40K","118.13K","44.27K","-48.7%","106.0","50.0%","28.1","2.0","0","83.9"
"LEN","20%","1","100.0","43.50K","0.00","43.50K","-94.2%","22.0","100.0%","4.3","1.0","0","30.51"
"TBT","62%","5","60.0","141.64K","99.05K","42.59K","100.0%","104.6","60.0%","-4.8","1.5","0","36.12"
"GOLD","50%","3","66.7","88.10K","47.60K","40.50K","82.1%","143.3","66.7%","7.9","0.3","0","37.79"
"FANG","40%","2","50.0","87.56K","51.50K","36.06K","87.5%","120.0","50.0%","14.2","0.3","0","40.59"
"TNK","100%","5","60.0","115.52K","81.40K","34.12K","-45.0%","128.4","60.0%","-4.5","3.0","0","60.66"
"CCL","60%","3","66.7","70.13K","36.05K","34.09K","81.1%","136.3","33.3%","27","0.1","0","59.81"
"SOFI","60%","3","66.7","65.26K","34.04K","31.22K","-1087.9%","12.7","66.7%","-9","1.3","0","75.33"
"MCD","100%","5","60.0","159.12K","128.80K","30.32K","10.0%","13.6","60.0%","-0.9","0.8","0","18.66"
"PXD","12%","1","100.0","30.05K","0.00","30.05K","100.0%","64.0","100.0%","6.8","2.5","0","40.22"
"CWH","11%","1","100.0","30.00K","0.00","30.00K","100.0%","211.0","100.0%","8.6","1.0","0","70.86"
"EFA","20%","1","100.0","29.32K","0.00","29.32K","100.0%","29.0","100.0%","1.1","0.4","0","15.11"
"PLD","17%","1","100.0","26.46K","0.00","26.46K","100.0%","64.0","100.0%","7.4","1.0","0","27.39"
"CRM","50%","14","57.1","760.67K","736.82K","23.85K","100.0%","51.5","57.1%","1.6","0.3","0","41.76"
"FISV","100%","5","40.0","157.10K","133.93K","23.17K","85.5%","225.0","40.0%","3","0.7","0","24.9"
"APLS","33%","3","33.3","88.20K","68.63K","19.57K","100.0%","29.0","33.3%","35.7","2.5","0","212.52"
"ENPH","22%","5","40.0","153.47K","133.93K","19.54K","96.8%","2.4","40.0%","-0.5","0.1","0","62.42"
"NOW","40%","2","50.0","122.48K","104.61K","17.88K","100.0%","92.0","50.0%","9","0.3","0","42.12"
"LULU","67%","4","50.0","103.38K","92.50K","10.88K","85.0%","30.8","50.0%","9.4","1.4","0","37.11"
"FSLY","82%","33","57.6","791.74K","782.71K","9.03K","93.2%","90.1","51.5%","12.4","4.0","0","83.55"
"LAC","40%","2","50.0","49.50K","41.40K","8.10K","100.0%","15.0","50.0%","-12.7","0.3","0","73.43"
"CS","40%","2","50.0","34.10K","26.00K","8.10K","82.5%","74.5","50.0%","-4.4","0.6","0","49.37"
"AAP","40%","2","50.0","92.60K","88.35K","4.25K","100.0%","22.0","50.0%","-10.2","2.5","0","49.45"
"SMH","80%","12","50.0","1.03M","1.03M","-4.80K","101.0%","91.4","50.0%","16.1","0.5","0","31.61"
"AIG","67%","4","50.0","335.00K","350.18K","-15.18K","104.7%","146.3","50.0%","-0.5","0.7","0","24.58"
"BRZU","80%","4","25.0","141.40K","157.40K","-16.00K","150.5%","8.0","25.0%","-4.3","1.7","0","110.1"
"DAL","50%","4","50.0","56.82K","73.30K","-16.48K","110.4%","106.0","50.0%","-2.8","0.5","0","32.96"
"VALE","27%","3","33.3","46.50K","64.82K","-18.32K","105.1%","22.0","33.3%","-1.2","0.2","0","47.16"
"NCLH","47%","9","55.6","143.50K","162.47K","-18.96K","424.4%","92.8","55.6%","-0.1","1.4","0","51.94"
"SEDG","50%","3","33.3","153.39K","172.88K","-19.49K","107.2%","19.7","33.3%","5.7","0.2","0","57.04"
"SNOW","53%","17","52.9","556.44K","578.91K","-22.47K","104.2%","8.0","52.9%","-1.3","0.3","0","72.1"
"BHC","88%","15","13.3","1.09M","1.12M","-22.66K","166.6%","68.7","13.3%","-9.2","2.0","0","80.31"
"PEP","60%","3","33.3","59.63K","84.18K","-24.55K","100.0%","173.7","33.3%","11.1","0.2","0","15.61"
"U","45%","5","40.0","59.08K","88.74K","-29.66K","324.4%","37.4","40.0%","-0.6","0.2","0","107.42"
"BIIB","80%","4","50.0","350.80K","381.13K","-30.33K","100.0%","345.8","50.0%","17.1","1.7","0","33.75"
"GDXJ","100%","6","16.7","278.00K","311.00K","-33.00K","100.0%","200.5","16.7%","-5.5","1.3","0","37.95"
"SOXS","100%","6","33.3","140.53K","183.25K","-42.72K","100.0%","33.7","33.3%","1","0.5","0","100.9"
"CF","50%","5","20.0","85.86K","133.15K","-47.29K","100.0%","90.6","20.0%","-4.2","1.3","0","38.59"
"BWA","80%","4","50.0","188.02K","237.43K","-49.40K","100.0%","16.8","25.0%","-7.7","1.0","0","99.79"
"EPD","50%","4","25.0","54.00K","103.89K","-49.89K","355.1%","209.3","25.0%","-6.6","2.5","0","17.08"
"FSLR","46%","6","66.7","494.83K","548.50K","-53.67K","100.0%","51.2","66.7%","6.9","1.3","0","51.41"
"LOGI","78%","7","42.9","208.16K","264.38K","-56.22K","100.0%","545.0","42.9%","11.5","15.0","0","32.66"
"IBM","50%","6","33.3","110.81K","172.47K","-61.66K","100.0%","50.0","33.3%","3.7","0.9","0","21.28"
"WBD","71%","10","60.0","246.78K","310.68K","-63.90K","100.0%","196.3","30.0%","13.4","1.4","0","65.15"
"NET","40%","10","50.0","764.95K","833.77K","-68.83K","141.5%","395.8","40.0%","13.6","0.2","0","72.98"
"TOST","47%","8","37.5","118.21K","188.68K","-70.47K","100.0%","358.0","37.5%","16.8","1.3","0","84.44"
"MANU","27%","8","37.5","143.31K","214.86K","-71.55K","1958.0%","15.9","37.5%","3.9","5.0","0","109.44"
"GS","57%","8","37.5","324.83K","396.81K","-71.98K","438.1%","95.5","37.5%","2.9","0.4","0","22.92"
"OKTA","71%","5","40.0","91.32K","165.90K","-74.58K","100.0%","13.6","40.0%","-6.7","1.1","0","79.01"
"AR","65%","11","45.5","221.56K","305.99K","-84.43K","100.0%","199.5","45.5%","-0.7","2.5","0","57.79"
"LRCX","33%","2","50.0","32.71K","118.55K","-85.84K","100.0%","32.5","50.0%","0","0.4","0","49.19"
"MS","60%","18","38.9","983.72K","1.07M","-86.25K","100.0%","76.4","33.3%","0.1","0.9","0","25.83"
"BMY","28%","5","40.0","61.30K","154.89K","-93.59K","480.5%","281.0","40.0%","2.5","0.7","0","19.75"
"INTC","76%","13","38.5","346.66K","440.82K","-94.16K","476.8%","290.2","38.5%","17.9","0.5","0","32.62"
"BYND","95%","20","50.0","434.63K","533.86K","-99.23K","100.0%","66.5","40.0%","3.4","2.1","0","152.76"
"FCX","67%","8","62.5","149.10K","250.51K","-101.41K","120.4%","90.3","62.5%","15.9","0.4","0","41.15"
"SOXL","62%","8","37.5","224.98K","331.63K","-106.64K","100.0%","112.1","37.5%","21.2","0.3","0","91.18"
"GILD","57%","4","25.0","34.78K","144.07K","-109.29K","154.9%","60.5","25.0%","-1.4","0.3","0","27.67"
"MU","36%","15","60.0","369.01K","480.00K","-110.98K","100.0%","92.5","46.7%","2","0.6","0","41.81"
"BOIL","67%","4","25.0","53.65K","165.09K","-111.44K","156.1%","237.3","25.0%","0.4","0.2","0","139.37"
"UNH","43%","6","50.0","524.57K","640.57K","-116.00K","240.7%","50.0","50.0%","-0.5","0.5","0","21.58"
"XOM","43%","25","56.0","966.14K","1.08M","-117.12K","396.7%","90.9","52.0%","0.8","1.0","0","27.51"
"DVN","46%","23","43.5","460.94K","589.81K","-128.87K","100.0%","175.4","43.5%","16.7","0.7","0","38.77"
"WING","60%","3","66.7","233.83K","367.50K","-133.67K","100.0%","120.0","66.7%","17.2","2.0","0","58.66"
"TOL","80%","4","25.0","33.60K","179.80K","-146.20K","100.0%","29.0","25.0%","3.2","5.0","0","37.95"
"MPW","47%","7","28.6","118.09K","264.43K","-146.34K","100.0%","33.0","28.6%","7.7","0.5","0","71.52"
"NFLX","53%","54","48.1","2.23M","2.37M","-148.17K","106.8%","34.2","48.1%","2.3","0.4","0","41.93"
"AMAT","46%","22","50.0","670.62K","819.31K","-148.69K","100.0%","58.9","50.0%","1.6","2.3","0","49.42"
"MRK","64%","7","28.6","128.81K","278.32K","-149.51K","100.0%","61.0","28.6%","-2.9","0.4","0","24.05"
"DE","29%","4","25.0","41.50K","191.02K","-149.52K","100.0%","15.0","25.0%","2.4","1.0","0","65.74"
"AMGN","40%","4","25.0","25.20K","199.30K","-174.10K","490.6%","153.3","25.0%","9.8","0.6","0","21.32"
"STNG","69%","11","36.4","427.55K","603.75K","-176.20K","100.0%","63.4","27.3%","8.1","0.3","0","53.76"
"RCL","33%","3","33.3","31.10K","213.10K","-182.00K","100.0%","89.7","33.3%","1.5","0.1","0","48.21"
"AAL","40%","6","33.3","93.20K","286.55K","-193.35K","100.0%","167.8","33.3%","6.1","0.9","0","40.84"
"BHP","60%","6","33.3","104.52K","308.63K","-204.11K","100.0%","127.0","33.3%","0.6","2.0","0","30.53"
"UPST","30%","7","28.6","74.45K","283.72K","-209.27K","100.0%","84.0","28.6%","0.5","0.1","0","119.78"
"PLTR","84%","31","48.4","708.50K","932.15K","-223.66K","158.7%","162.2","45.2%","12.3","0.5","0","69.1"
"CLF","100%","14","35.7","338.16K","565.08K","-226.92K","100.0%","272.5","21.4%","-5.2","0.9","0","56.79"
"PLUG","73%","8","25.0","78.75K","318.08K","-239.33K","1109.8%","270.5","25.0%","22.8","0.8","0","75.63"
"XLP","75%","6","33.3","67.70K","311.13K","-243.43K","276.7%","337.0","33.3%","3.1","1.1","0","14.48"
"RUN","100%","7","28.6","65.41K","308.99K","-243.58K","209.0%","134.0","28.6%","9","0.4","0","78.63"
"CRWD","52%","13","23.1","467.95K","719.58K","-251.63K","182.2%","88.2","23.1%","10.7","0.2","0","59.64"
"XBI","13%","2","50.0","42.63K","302.50K","-259.88K","220.1%","71.0","50.0%","17.1","0.1","0","33.55"
"BITO","80%","16","37.5","245.28K","513.12K","-267.84K","100.0%","314.7","37.5%","-2.9","0.4","0","67.69"
"VZ","67%","10","20.0","55.95K","329.68K","-273.73K","848.7%","252.3","20.0%","-0.2","0.5","0","21.62"
"MSTR","69%","9","44.4","422.05K","707.49K","-285.44K","100.0%","27.4","44.4%","18.3","1.0","0","95.9"
"NE","100%","6","66.7","161.60K","451.85K","-290.25K","6206.7%","39.5","66.7%","-2.5","20.0","0","52.72"
"MRNA","47%","9","55.6","317.35K","617.47K","-300.12K","180.0%","48.4","55.6%","8.3","0.5","0","58.42"
"HTZ","83%","5","40.0","87.50K","388.35K","-300.85K","900.7%","232.0","40.0%","-0.9","0.7","0","63.09"
"MARA","76%","42","50.0","974.77K","1.28M","-303.73K","100.0%","125.7","45.2%","11.7","1.5","0","157.59"
"V","69%","11","45.5","453.06K","761.66K","-308.61K","100.0%","106.0","45.5%","2.5","1.0","0","23.57"
"WPM","69%","11","18.2","88.74K","407.63K","-318.89K","100.0%","197.6","18.2%","2.3","1.3","0","29.42"
"TECK","56%","9","44.4","672.17K","993.33K","-321.15K","341.0%","64.0","44.4%","0.2","1.5","0","44.29"
"MMM","89%","8","62.5","248.59K","583.64K","-335.05K","100.0%","97.3","62.5%","1.1","3.1","0","25.87"
"RIVN","71%","27","40.7","830.91K","1.17M","-339.88K","175.1%","209.4","33.3%","6.8","0.5","0","87.26"
"ETSY","36%","10","30.0","167.50K","509.07K","-341.57K","100.0%","73.8","30.0%","-4.4","1.4","0","73.51"
"AMC","18%","10","50.0","178.44K","543.40K","-364.96K","100.0%","32.5","50.0%","13.4","0.3","0","224.53"
"KRE","67%","8","25.0","122.04K","503.21K","-381.17K","319.5%","105.1","25.0%","5.4","0.5","0","23.81"
"LVS","83%","5","20.0","26.75K","419.67K","-392.93K","100.0%","79.4","20.0%","1.2","0.4","0","33.89"
"CCJ","83%","15","46.7","651.97K","1.06M","-404.27K","209.9%","70.5","46.7%","11.4","0.7","0","43.23"
"SBUX","53%","8","25.0","72.66K","485.32K","-412.67K","222.9%","113.0","25.0%","1.2","0.3","0","24.19"
"PG","80%","8","25.0","91.01K","515.41K","-424.40K","100.0%","151.5","25.0%","1.5","0.4","0","20.46"
"BX","50%","6","33.3","55.80K","481.98K","-426.18K","100.0%","34.8","33.3%","-3","0.8","0","40.11"
"GDX","73%","38","52.6","978.98K","1.41M","-429.95K","100.0%","96.2","52.6%","8.3","2.4","0","33.42"
"BP","53%","9","44.4","206.16K","648.82K","-442.66K","119.0%","88.1","44.4%","3.9","0.1","0","28.49"
"AXP","70%","7","14.3","63.83K","524.98K","-461.15K","379.8%","22.0","14.3%","-4.9","0.3","0","37.11"
"DOCU","77%","27","51.9","1.03M","1.50M","-479.02K","305.8%","122.9","51.9%","11.7","1.9","0","68.08"
"MA","74%","14","42.9","198.37K","696.01K","-497.64K","100.0%","55.0","42.9%","6.1","3.3","0","21.01"
"ABBV","56%","5","20.0","35.84K","594.15K","-558.30K","149.2%","54.2","20.0%","0.1","0.1","0","23.57"
"HD","19%","5","20.0","108.60K","678.24K","-569.63K","100.0%","43.0","20.0%","8.7","0.3","0","34.35"
"EEM","56%","5","40.0","73.50K","648.00K","-574.50K","100.0%","66.8","40.0%","5.6","0.2","0","20.1"
"CSCO","76%","120","45.8","3.54M","4.13M","-583.96K","100.0%","195.4","45.8%","0","5.7","0","27.86"
"SE","73%","22","31.8","495.84K","1.10M","-608.60K","409.3%","120.3","31.8%","26.7","1.5","0","70.38"
"WMT","67%","18","22.2","268.64K","892.97K","-624.33K","100.0%","33.3","22.2%","-0.2","0.7","0","29.3"
"UNG","100%","22","40.9","756.18K","1.38M","-625.91K","2212.7%","136.5","40.9%","12.8","1.2","0","80.79"
"AMD","44%","138","42.0","5.59M","6.23M","-640.50K","100.0%","73.2","42.0%","5.8","0.7","0","46.92"
"BIDU","82%","14","42.9","204.57K","907.03K","-702.46K","100.0%","74.5","42.9%","16.3","0.2","0","58.29"
"C","79%","22","40.9","431.41K","1.14M","-705.86K","100.0%","46.2","40.9%","-1.3","0.6","0","26.03"
"CROX","100%","23","56.5","613.30K","1.32M","-710.98K","349.0%","53.3","56.5%","12.5","2.8","0","73.29"
"TLT","31%","18","22.2","364.38K","1.12M","-756.56K","100.0%","133.6","22.2%","9.3","0.2","0","17.65"
"XLF","37%","7","14.3","25.66K","817.15K","-791.49K","421.2%","120.0","14.3%","1.5","0.1","0","18.8"
