"Symb","Proportion","Orders","Buys","AtAsk","AtBid","NetPrems","PremsChng","AvgExpD","OTM%","OTMScore","Unusual%","SpotChng","Ivol%"
"LCID","20%","3","100.0","138.42K","0.00","138.42K","100.0%","7.0","66.7%","18.9","0.2","0","118.97"
"THC","100%","12","50.0","358.44K","228.63K","129.81K","100.0%","47.8","50.0%","-2.6","2.1","0","41.38"
"LI","90%","9","55.6","264.76K","144.50K","120.27K","100.0%","23.3","55.6%","-1","1.1","0","69.14"
"MRNA","77%","10","60.0","524.74K","405.26K","119.48K","45.1%","196.0","60.0%","33.8","0.7","0","58.98"
"BILI","80%","8","37.5","323.85K","215.89K","107.95K","-483.5%","99.8","37.5%","30.8","1.3","0","88.77"
"BBBY","50%","11","54.5","373.85K","266.25K","107.60K","100.0%","22.3","27.3%","26.4","0.1","0","233.53"
"CEIX","20%","1","100.0","106.00K","0.00","106.00K","100.0%","343.0","100.0%","24.2","0.8","0","55.29"
"SBUX","40%","6","66.7","164.67K","60.66K","104.01K","88.5%","82.8","66.7%","7","0.2","0","27.2"
"APA","46%","6","66.7","159.26K","61.75K","97.51K","55.6%","46.7","66.7%","1","0.7","0","49.26"
"PLTR","56%","10","60.0","279.43K","184.09K","95.33K","20.5%","293.3","60.0%","25.9","0.3","0","86.65"
"CAR","60%","3","100.0","95.05K","0.00","95.05K","68.4%","7.0","100.0%","30.8","0.4","0","146.92"
"AI","63%","24","45.8","785.52K","691.41K","94.11K","82.2%","107.9","45.8%","16.3","0.2","0","156.54"
"GM","67%","8","50.0","230.90K","138.50K","92.40K","95.3%","387.6","50.0%","2.6","0.2","0","34.57"
"NWL","67%","4","50.0","207.10K","115.34K","91.76K","-242.0%","416.5","50.0%","2.2","3.3","0","40.88"
"FDX","60%","6","50.0","425.35K","336.24K","89.11K","18.0%","92.2","50.0%","6.6","0.5","0","33.48"
"TTD","36%","5","60.0","153.71K","67.50K","86.21K","-1134.3%","18.2","60.0%","1.2","0.5","0","133.99"
"NEM","60%","3","66.7","104.47K","28.77K","75.70K","20.7%","240.3","66.7%","-5","0.2","0","36.32"
"CCJ","82%","9","55.6","235.31K","160.56K","74.75K","100.0%","60.7","44.4%","7.6","0.5","0","69.45"
"UNH","100%","8","50.0","252.83K","178.40K","74.43K","83.4%","78.8","50.0%","8.2","0.3","0","23.73"
"WMT","65%","15","46.7","405.29K","331.80K","73.49K","59.4%","95.2","46.7%","4.3","1.3","0","25.83"
"PDD","40%","17","52.9","1.39M","1.32M","71.49K","94.8%","168.8","47.1%","-0.2","0.4","0","60.65"
"F","33%","6","66.7","155.93K","85.11K","70.81K","81.8%","201.8","66.7%","-5.9","0.2","0","37.77"
"KBH","17%","1","100.0","67.93K","0.00","67.93K","-280.8%","7.0","100.0%","1.2","0.6","0","38.03"
"TGT","33%","6","33.3","433.62K","367.29K","66.33K","100.0%","47.8","33.3%","8.7","0.3","0","38.82"
"WBA","78%","7","71.4","154.75K","88.78K","65.97K","-19.8%","143.0","71.4%","3.8","1.6","0","26.18"
"FSLR","21%","3","66.7","108.86K","43.68K","65.18K","100.0%","21.0","66.7%","7.5","0.4","0","54.85"
"LNG","11%","1","100.0","62.13K","0.00","62.13K","100.0%","42.0","100.0%","7.8","1.3","0","36.52"
"APPS","20%","2","100.0","60.18K","0.00","60.18K","-7023.6%","371.0","100.0%","0.9","1.3","0","121.34"
"FANG","20%","1","100.0","56.50K","0.00","56.50K","100.0%","126.0","100.0%","1.7","0.5","0","38.28"
"EMB","60%","6","50.0","352.90K","299.00K","53.90K","46.3%","96.8","50.0%","1","5.0","0","14.21"
"MT","33%","2","100.0","53.43K","0.00","53.43K","100.0%","234.5","100.0%","10.2","0.7","0","38.33"
"NET","56%","36","55.6","1.14M","1.09M","52.71K","20.5%","163.5","52.8%","29.6","1.3","0","95.81"
"RIVN","28%","5","60.0","155.70K","105.20K","50.50K","92.4%","121.8","40.0%","4.2","0.1","0","87.34"
"DELL","60%","3","66.7","80.10K","35.51K","44.59K","-71.6%","35.0","66.7%","-5.3","2.0","0","37.61"
"WFRD","100%","5","60.0","376.00K","333.76K","42.24K","100.0%","12.6","60.0%","-9","15.0","0","62.36"
"BURL","29%","2","50.0","107.25K","66.60K","40.65K","-2.3%","35.0","50.0%","7.4","1.7","0","43.75"
"DB","17%","1","100.0","33.88K","0.00","33.88K","-65.3%","35.0","100.0%","-0.5","1.3","0","34.34"
"FLEX","80%","4","50.0","98.16K","66.24K","31.91K","-41.4%","343.0","50.0%","23.4","0.6","0","32.84"
"C","63%","41","51.2","1.12M","1.09M","30.61K","100.0%","248.1","51.2%","3.4","1.3","0","27.87"
"DASH","36%","5","60.0","154.09K","124.25K","29.84K","100.0%","36.4","40.0%","4.2","0.2","0","90.53"
"ZS","10%","1","100.0","29.20K","0.00","29.20K","100.0%","0.0","100.0%","0.6","0.1","0","66.96"
"TGTX","100%","10","70.0","404.53K","379.22K","25.31K","90.1%","133.7","70.0%","13.2","1.5","0","107.64"
"DAL","33%","3","66.7","121.91K","106.48K","15.43K","92.9%","513.3","66.7%","17.8","0.4","0","35.72"
"SPOT","57%","8","50.0","176.42K","161.82K","14.60K","97.1%","12.3","50.0%","-0.7","0.4","0","54.27"
"BYND","57%","4","50.0","77.28K","64.68K","12.60K","94.6%","91.0","50.0%","3.1","0.2","0","122.95"
"MGM","31%","4","50.0","76.15K","64.10K","12.05K","96.0%","78.8","50.0%","-0.8","0.4","0","37.13"
"ABT","60%","3","33.3","57.33K","50.81K","6.52K","100.0%","56.0","33.3%","1.7","0.8","0","21.85"
"STLD","60%","3","66.7","123.50K","117.90K","5.60K","94.5%","86.3","66.7%","1.8","1.3","0","39.77"
"ROKU","43%","9","44.4","176.27K","174.42K","1.85K","99.3%","5.4","44.4%","3.4","0.2","0","149.31"
"GME","29%","2","50.0","34.85K","35.20K","-347.00","100.0%","35.0","50.0%","26.1","0.1","0","153.63"
"RBLX","33%","7","42.9","134.31K","135.79K","-1.48K","100.0%","90.0","28.6%","32","0.3","0","100"
"BBY","50%","3","66.7","84.00K","85.56K","-1.56K","109.0%","16.3","66.7%","6.1","2.5","0","40.01"
"W","27%","9","55.6","200.80K","206.74K","-5.94K","100.0%","63.8","55.6%","28.5","0.7","0","126.44"
"MPC","89%","17","58.8","567.62K","576.44K","-8.82K","100.0%","93.1","58.8%","11.1","2.8","0","33.09"
"CNC","100%","5","60.0","232.40K","249.92K","-17.52K","190.1%","35.0","60.0%","-0.8","3.0","0","34.76"
"MPW","19%","3","33.3","131.79K","149.87K","-18.08K","109.4%","93.3","33.3%","7.9","0.3","0","71.8"
"CVS","53%","10","50.0","261.38K","282.49K","-21.11K","100.0%","53.9","50.0%","0.2","0.4","0","21.73"
"GDX","54%","26","42.3","881.76K","909.40K","-27.64K","100.0%","142.2","42.3%","-3.9","0.8","0","34.98"
"TECK","27%","3","33.3","33.62K","61.39K","-27.77K","140.6%","14.0","33.3%","-0.5","0.4","0","57.78"
"BTU","56%","15","46.7","314.11K","342.63K","-28.52K","192.6%","91.9","46.7%","3.7","0.9","0","81.44"
"CVNA","17%","4","50.0","164.99K","196.80K","-31.81K","102.6%","38.5","50.0%","4.3","0.0","0","294.29"
"SOXL","75%","15","53.3","564.50K","601.05K","-36.56K","105.0%","240.3","53.3%","21.7","0.4","0","109.49"
"MS","46%","6","50.0","244.12K","284.75K","-40.62K","100.0%","156.3","33.3%","-2.4","0.2","0","27.45"
"CMG","44%","4","50.0","113.19K","153.88K","-40.69K","100.0%","7.0","50.0%","4.9","0.9","0","36.88"
"AZN","50%","7","14.3","354.60K","396.75K","-42.16K","100.0%","225.0","14.3%","-12.9","1.0","0","24.89"
"DXCM","57%","12","58.3","410.47K","455.89K","-45.42K","100.0%","105.0","58.3%","6.2","5.0","0","40.86"
"DOCU","60%","6","50.0","182.10K","228.73K","-46.63K","100.0%","50.2","50.0%","25.9","0.3","0","84.04"
"MA","60%","3","33.3","306.10K","357.90K","-51.80K","288.2%","483.0","33.3%","3.7","0.5","0","26.26"
"MRVL","43%","6","50.0","103.63K","157.50K","-53.87K","142.2%","98.0","50.0%","0.3","0.6","0","56.73"
"VXX","45%","5","40.0","60.35K","118.01K","-57.66K","147.9%","42.0","20.0%","-3.6","0.4","0","72.35"
"FCX","29%","9","55.6","329.49K","387.38K","-57.89K","106.7%","169.6","44.4%","0.6","0.2","0","50.9"
"BX","21%","3","33.3","80.49K","143.23K","-62.74K","545.9%","49.0","33.3%","2.6","0.3","0","43.34"
"AA","50%","3","33.3","26.20K","90.62K","-64.42K","148.3%","158.7","33.3%","22.6","0.3","0","107.83"
"WYNN","59%","10","50.0","220.22K","287.90K","-67.69K","664.6%","79.8","50.0%","2.7","0.4","0","39.8"
"MSGE","100%","6","50.0","139.91K","207.74K","-67.83K","1955.4%","35.0","50.0%","-0.1","15.0","0","36.47"
"AFRM","14%","4","25.0","38.32K","109.53K","-71.22K","153.4%","52.5","25.0%","0","0.0","0","127.74"
"RNG","60%","3","33.3","29.75K","104.63K","-74.88K","100.0%","46.7","33.3%","22.2","0.4","0","97.33"
"LUV","73%","8","50.0","134.13K","210.78K","-76.66K","100.0%","264.3","50.0%","-1.6","0.8","0","32.45"
"GS","23%","5","40.0","215.81K","294.27K","-78.46K","100.0%","121.8","40.0%","5.5","0.4","0","29.3"
"DKNG","45%","5","60.0","94.99K","181.02K","-86.02K","129.3%","9.8","40.0%","-3.3","0.2","0","128.51"
"BRK/B","39%","7","28.6","159.18K","249.17K","-90.00K","126.5%","74.0","28.6%","2.4","0.3","0","25.45"
"BABA","60%","90","50.0","4.56M","4.65M","-91.43K","100.0%","159.7","50.0%","19.2","0.6","0","53.76"
"LRCX","47%","7","42.9","428.33K","520.73K","-92.41K","100.0%","17.0","42.9%","1.5","0.7","0","47.74"
"UVXY","62%","13","38.5","187.12K","280.75K","-93.63K","100.0%","29.6","38.5%","-5.7","1.1","0","167.41"
"PARA","100%","5","20.0","37.20K","132.48K","-95.28K","100.0%","67.2","20.0%","2.9","0.2","0","59.27"
"XM","100%","6","33.3","118.28K","213.97K","-95.69K","100.0%","107.3","33.3%","-6.8","2.0","0","54.26"
"ZM","50%","4","50.0","61.09K","157.91K","-96.83K","100.0%","29.8","50.0%","12.1","0.2","0","65.91"
"DDOG","85%","11","45.5","217.17K","319.42K","-102.25K","100.0%","46.5","45.5%","5.6","0.6","0","88.68"
"MARA","37%","7","28.6","99.05K","203.92K","-104.87K","294.1%","170.0","28.6%","961.3","0.1","0","165.05"
"CRM","58%","51","41.2","1.98M","2.09M","-112.20K","100.0%","39.0","41.2%","7.2","1.0","0","44.33"
"SLV","52%","17","58.8","457.99K","575.74K","-117.75K","236.2%","271.8","58.8%","4.7","0.4","0","29.76"
"NFLX","49%","98","66.3","6.55M","6.67M","-120.05K","104.4%","52.1","65.3%","5","0.7","0","49.23"
"IBM","70%","7","42.9","175.88K","301.49K","-125.60K","100.0%","71.0","42.9%","-1.6","0.6","0","21.07"
"RCL","33%","2","50.0","28.70K","159.03K","-130.33K","182.7%","171.5","50.0%","17.1","0.1","0","50.4"
"SHOP","46%","13","30.8","176.97K","307.73K","-130.76K","113.2%","131.9","30.8%","35","0.1","0","125.7"
"NIO","81%","13","53.8","254.78K","387.37K","-132.59K","167.0%","162.1","53.8%","5.6","0.7","0","77.53"
"CSCO","52%","14","42.9","282.71K","425.57K","-142.85K","100.0%","94.5","42.9%","1.5","0.7","0","35.55"
"CCI","100%","6","16.7","56.16K","213.82K","-157.66K","393.4%","161.0","16.7%","3.1","1.0","0","26.03"
"EWZ","26%","14","42.9","866.77K","1.03M","-163.61K","100.0%","53.0","42.9%","5.3","0.5","0","35.58"
"BBAI","86%","6","16.7","35.00K","205.00K","-170.00K","100.0%","30.3","16.7%","4","0.1","0","183.1"
"FIS","82%","9","66.7","341.51K","515.39K","-173.88K","100.0%","30.3","66.7%","2.6","1.0","0","54.37"
"BOIL","79%","11","36.4","144.00K","319.35K","-175.35K","135.7%","272.4","36.4%","32.5","0.4","0","145.49"
"PINS","67%","14","35.7","287.24K","462.89K","-175.65K","128.1%","148.0","14.3%","21.2","0.1","0","56.33"
"STX","70%","7","28.6","87.73K","291.59K","-203.86K","911.4%","217.0","28.6%","5.3","1.0","0","37.11"
"AMGN","60%","3","33.3","49.00K","260.69K","-211.69K","434.1%","77.0","33.3%","0.7","0.2","0","21.89"
"PTON","50%","5","40.0","86.87K","310.60K","-223.73K","100.0%","299.6","40.0%","6.1","0.1","0","149.06"
"NTR","100%","6","33.3","125.29K","355.81K","-230.52K","156.1%","14.0","33.3%","2.5","1.3","0","46.8"
"ULTA","50%","9","44.4","607.14K","840.65K","-233.51K","100.0%","7.0","44.4%","-2.8","4.0","0","34.68"
"SNOW","36%","15","40.0","358.41K","609.33K","-250.91K","190.8%","12.1","40.0%","1.7","0.2","0","74.05"
"VZ","64%","9","22.2","81.09K","337.71K","-256.62K","1252.7%","113.6","22.2%","-1","0.4","0","21.6"
"XPEV","40%","6","16.7","39.18K","304.62K","-265.44K","460.9%","56.0","16.7%","35.1","0.2","0","82.88"
"SOXS","100%","13","30.8","162.79K","433.04K","-270.24K","115.4%","22.6","30.8%","-3","0.4","0","120.84"
"FUTU","80%","8","37.5","114.37K","388.93K","-274.56K","100.0%","22.8","37.5%","4.9","0.8","0","67.94"
"BP","52%","46","47.8","1.20M","1.53M","-323.10K","1303.5%","112.6","43.5%","1.4","1.2","0","35.1"
"AXP","79%","11","36.4","296.03K","624.27K","-328.24K","162.4%","280.0","36.4%","-1.8","0.7","0","30.33"
"TWLO","28%","8","12.5","32.17K","409.12K","-376.94K","391.1%","91.0","12.5%","58.2","0.1","0","107.44"
"DVN","61%","33","42.4","723.15K","1.12M","-392.38K","100.0%","85.3","42.4%","6.9","2.1","0","47.28"
"COIN","23%","36","41.7","1.09M","1.49M","-394.69K","100.0%","62.6","41.7%","22.2","0.1","0","160.23"
"ORCL","74%","14","28.6","266.09K","671.22K","-405.13K","870.1%","52.0","28.6%","2.1","0.7","0","29.2"
"Z","78%","7","14.3","25.50K","446.60K","-421.10K","100.0%","463.0","14.3%","5.3","0.3","0","61.44"
"PG","47%","9","77.8","429.25K","870.75K","-441.50K","100.0%","73.9","77.8%","1","1.7","0","17.94"
"SPWR","80%","4","25.0","40.45K","569.02K","-528.58K","100.0%","204.8","25.0%","49.9","2.5","0","70.65"
"AVGO","46%","6","50.0","158.67K","724.28K","-565.61K","401.0%","75.8","50.0%","18","0.6","0","34.62"
"CF","36%","5","40.0","97.45K","685.00K","-587.55K","2480.0%","159.6","40.0%","24.1","1.4","0","39.96"
"NKE","42%","10","40.0","174.28K","815.27K","-640.99K","100.0%","84.7","40.0%","3.4","1.0","0","35.34"
"PFE","59%","10","30.0","187.04K","842.43K","-655.39K","100.0%","79.1","30.0%","9.5","0.5","0","24.72"
"MMM","53%","9","33.3","123.84K","794.14K","-670.30K","100.0%","97.2","33.3%","-0.9","0.9","0","28.97"
"EFA","90%","9","33.3","137.04K","850.07K","-713.03K","100.0%","150.9","33.3%","2.3","1.1","0","15.87"
"SMH","14%","13","38.5","700.41K","1.46M","-757.23K","211.0%","63.5","38.5%","3.3","0.5","0","39.28"
"PANW","33%","3","33.3","125.28K","891.41K","-766.13K","100.0%","228.7","33.3%","3.8","0.2","0","42.3"
"TSM","63%","19","36.8","834.18K","1.68M","-843.03K","100.0%","59.7","31.6%","7.8","0.2","0","35.48"
"PYPL","63%","111","45.0","3.49M","4.36M","-862.72K","220.9%","54.5","45.0%","3.8","1.7","0","53.54"
"PEP","71%","15","40.0","273.17K","1.17M","-896.80K","371.8%","109.2","40.0%","-0.9","1.0","0","27.9"
"KO","50%","4","50.0","74.91K","974.55K","-899.64K","1996.0%","304.5","50.0%","4.9","0.7","0","19.76"
"AMZN","59%","244","47.1","7.57M","8.59M","-1.02M","100.0%","81.4","47.1%","6","0.2","0","48.29"
"GE","33%","2","50.0","36.90K","1.20M","-1.16M","2146.9%","234.5","50.0%","4.9","0.4","0","29.99"
"PCG","56%","5","20.0","47.03K","1.20M","-1.16M","1102.4%","102.2","20.0%","9.8","0.6","0","27.41"
"BAC","53%","39","25.6","1.30M","2.61M","-1.31M","198.0%","153.3","25.6%","1.3","0.4","0","28.48"
"LVS","88%","7","28.6","108.09K","1.48M","-1.37M","100.0%","211.0","28.6%","22.5","0.6","0","35.99"
"UBER","54%","55","36.4","1.06M","2.55M","-1.49M","100.0%","110.1","34.5%","3.6","0.2","0","51.34"
"BIDU","39%","17","23.5","418.22K","1.92M","-1.50M","256.7%","93.5","23.5%","9.1","0.1","0","59.46"
"WDAY","44%","7","14.3","26.71K","1.83M","-1.80M","100.0%","74.0","14.3%","-2","0.5","0","44.02"
