"Time","Symbol","Type","Price","Size","Value","Filled","Sector","Mcap Proportion"
"03-08 17:18:43.865","FROG","Blocktrade","21.07","28.49K","600.31K","AtBid","Technology","28491"
"03-08 17:18:43.854","PFE","Blocktrade","40.12","29.46K","1.18M","AtBid","Healthcare","29464"
"03-08 17:18:43.847","NE","Blocktrade","42.57","38.91K","1.66M","AtAsk","Energy","38914"
"03-08 17:18:43.823","STX","Blocktrade","63.63","5.78K","367.78K","AtBid","Technology","5780"
"03-08 17:18:43.818","PCOR","Blocktrade","64.47","4.39K","283.15K","AtAsk","N/A","4392"
"03-08 17:18:43.809","ANSS","Blocktrade","302.63","4.82K","1.46M","AtBid","Technology","4823"
"03-08 17:18:43.785","BKI","Blocktrade","61.01","9.53K","581.61K","AtBid","Technology","9533"
"03-08 17:18:43.777","WMS","Blocktrade","92.36","9.26K","855.44K","AtBid","Industrials","9262"
"03-08 17:18:43.751","MMC","Blocktrade","162.25","23.1K","3.75M","AtBid","Financial","23101"
"03-08 17:18:43.720","MOH","Blocktrade","269.48","5.6K","1.51M","AtBid","Healthcare","5603"
"03-08 17:18:43.717","BG","Blocktrade","96.82","7.58K","733.61K","AtBid","Consumer Defensive","7577"
"03-08 17:18:43.681","ALTR","Blocktrade","67.27","8.89K","597.9K","AtBid","Technology","8888"
"03-08 17:18:43.677","AUR","Blocktrade","1.42","380.42K","540.2K","AtBid","N/A","380421"
"03-08 17:18:43.665","PRGO","Blocktrade","37.06","10.21K","378.53K","AtBid","Healthcare","10214"
"03-08 17:18:43.657","HES","Blocktrade","135.86","5.41K","734.6K","AtAsk","Energy","5407"
"03-08 17:18:43.651","EXTR","Blocktrade","17.9","15.06K","269.59K","AtBid","Technology","15061"
"03-08 17:18:43.648","YEXT","Blocktrade","9.38","166.36K","1.56M","AtAsk","Technology","166360"
"03-08 17:18:43.645","SUMO","Blocktrade","11.89","25.82K","307.01K","NoMatch","N/A","25821"
"03-08 17:18:43.640","ENSG","Blocktrade","88.65","5.77K","511.42K","NoMatch","Healthcare","5769"
"03-08 17:18:43.585","TRMB","Blocktrade","51.1","6.23K","318.15K","AtBid","Technology","6226"
"03-08 17:18:43.554","AZTA","Blocktrade","43.18","9.9K","427.57K","AtBid","N/A","9902"
"03-08 17:18:43.534","INTC","Blocktrade","25.98","50.81K","1.32M","NoMatch","Technology","50815"
"03-08 17:18:43.521","FTNT","Blocktrade","61.79","8.46K","522.62K","AtAsk","Technology","8458"
"03-08 17:18:43.492","SCHW","Blocktrade","76.2","9.74K","742.26K","AtAsk","Financial","9741"
"03-08 17:18:43.485","FL","Blocktrade","44.32","82.48K","3.66M","AtAsk","Consumer Cyclical","82480"
"03-08 17:18:43.473","MODN","Blocktrade","32.48","11.6K","376.8K","AtAsk","Technology","11601"
"03-08 17:18:43.460","DCT","Blocktrade","18.92","13.93K","263.61K","AtBid","N/A","13933"
"03-08 17:18:43.448","ADP","Blocktrade","221.97","10.26K","2.28M","AtBid","Industrials","10263"
"03-08 17:18:43.422","HZNP","Blocktrade","109.8","15.61K","1.71M","AtBid","Healthcare","15610"
"03-08 17:18:43.381","SWBI","Blocktrade","10.58","25.0K","264.48K","AtAsk","Industrials","24998"
"03-08 17:18:43.344","UNM","Blocktrade","44","11.37K","500.46K","AtAsk","Financial","11374"
"03-08 17:18:43.282","HCA","Blocktrade","251.43","1.16K","292.66K","AtBid","Healthcare","1164"
"03-08 17:18:43.253","MMYT","Blocktrade","25.35","14.04K","355.99K","AtBid","Consumer Cyclical","14043"
"03-08 17:18:43.247","VVV","Blocktrade","35.57","27.2K","967.68K","AtBid","Energy","27205"
"03-08 17:18:43.226","VKTX","Blocktrade","11.5","28.14K","323.58K","AtAsk","Healthcare","28137"
"03-08 17:18:43.216","LH","Blocktrade","229.96","1.84K","424.05K","AtBid","Healthcare","1844"
"03-08 17:18:43.141","ROG","Blocktrade","162.64","16.95K","2.76M","AtBid","Technology","16954"
"03-08 17:18:43.120","OTEX","Blocktrade","35.02","21.59K","756.08K","AtBid","Technology","21590"
"03-08 17:18:43.113","LUV","Blocktrade","33.9","80.86K","2.74M","NoMatch","Industrials","80864"
"03-08 17:18:43.101","HBI","Blocktrade","5.49","62.96K","345.67K","NoMatch","Consumer Cyclical","62964"
"03-08 17:18:43.095","AFG","Blocktrade","127.21","2.38K","303.27K","AtBid","Financial","2384"
"03-08 17:18:43.076","PR","Blocktrade","11.16","29.62K","330.53K","AtAsk","N/A","29617"
"03-08 17:18:43.038","BRK/B","Blocktrade","311.37","1.48K","461.76K","AtBid","N/A","1483"
