"Symb","Proportion","Ords","Buys","AtAsk","AtBid","NetPr","PremsChng","AExpD","OTM%","OTMSc","Unusual%","SpotChng","Ivol%"
"T","62%","5","80.0","244.36K","30.14K","214.22K","-5314.3%","45.8","80.0%","-0.1","1.8","0","21.01"
"SPOT","38%","5","80.0","254.16K","51.45K","202.72K","100.0%","23.4","80.0%","3","1.7","0","43.27"
"CF","50%","5","60.0","257.86K","56.27K","201.59K","20.9%","40.2","60.0%","0.6","1.5","0","38.59"
"APA","67%","6","83.3","238.18K","39.10K","199.08K","49.8%","170.2","83.3%","-4","1.6","0","57.72"
"OPEN","80%","4","75.0","235.43K","37.60K","197.83K","-2402.8%","363.3","75.0%","5.2","7.5","0","134.67"
"INTC","24%","4","100.0","195.95K","0.00","195.95K","100.0%","99.0","100.0%","-3.1","0.4","0","32.62"
"ZM","33%","9","77.8","344.88K","154.13K","190.75K","49.2%","51.6","77.8%","5.1","0.9","0","71.7"
"CS","60%","3","100.0","186.01K","0.00","186.01K","-688.1%","120.0","100.0%","-5.4","3.8","0","49.37"
"PHG","71%","5","100.0","182.25K","0.00","182.25K","100.0%","29.0","100.0%","-1.8","5.0","0","69.17"
"PYPL","35%","13","38.5","1.23M","1.06M","171.53K","-55.0%","137.2","38.5%","3.7","0.2","0","40.13"
"BROS","88%","7","57.1","287.62K","116.67K","170.94K","-427.6%","62.0","57.1%","10.6","6.7","0","75.21"
"FSLY","18%","7","85.7","206.54K","37.50K","169.04K","-27739.9%","47.0","85.7%","5","7.5","0","83.55"
"UPRO","100%","5","80.0","249.44K","83.13K","166.31K","-189.7%","1.0","80.0%","-1.4","1.7","0","59.15"
"TRIP","86%","6","83.3","305.31K","139.20K","166.12K","-21.6%","640.3","83.3%","25.4","5.0","0","48.11"
"TQQQ","28%","22","59.1","627.90K","461.85K","166.05K","59.1%","53.5","59.1%","4.6","0.6","0","72.91"
"SPXL","100%","5","100.0","161.80K","0.00","161.80K","100.0%","12.2","100.0%","0.6","5.0","0","55.56"
"CAT","58%","11","63.6","297.19K","136.28K","160.91K","100.0%","67.2","63.6%","14","1.8","0","30.1"
"V","31%","5","60.0","276.62K","117.94K","158.67K","9.7%","71.0","60.0%","-2.3","0.7","0","23.57"
"XLE","54%","20","50.0","1.21M","1.06M","151.63K","100.0%","67.5","50.0%","2.2","0.4","0","26.94"
"PARA","47%","14","64.3","425.05K","274.10K","150.95K","100.0%","185.0","57.1%","7.8","2.1","0","54.69"
"BILL","60%","3","33.3","211.50K","69.91K","141.59K","26.3%","17.3","33.3%","-1.7","0.5","0","63.83"
"WING","40%","2","100.0","137.00K","0.00","137.00K","-352.3%","74.5","100.0%","24.3","5.0","0","58.66"
"REGN","100%","5","60.0","288.49K","155.70K","132.78K","100.0%","57.0","60.0%","7.4","3.0","0","31.43"
"LULU","33%","2","100.0","129.99K","0.00","129.99K","100.0%","64.0","100.0%","6.3","1.3","0","37.11"
"ADBE","90%","9","55.6","292.35K","174.67K","117.69K","63.1%","42.2","55.6%","2.5","1.1","0","38.75"
"CMCSA","38%","3","66.7","132.76K","28.50K","104.26K","100.0%","143.3","66.7%","14.4","2.0","0","26.38"
"Z","20%","2","100.0","97.74K","0.00","97.74K","100.0%","337.0","100.0%","2.3","0.6","0","53.85"
"PXD","88%","7","57.1","261.30K","164.50K","96.80K","100.0%","4.0","57.1%","-4.1","20.0","0","40.22"
"GILD","43%","3","100.0","94.86K","0.00","94.86K","-138.4%","61.7","100.0%","-1.5","1.7","0","27.67"
"BBWI","60%","3","66.7","135.84K","43.20K","92.64K","-338.3%","117.7","66.7%","-0.5","10.0","0","72.33"
"WMT","33%","9","55.6","228.80K","137.74K","91.06K","100.0%","43.0","55.6%","0.6","0.9","0","29.3"
"GE","75%","6","50.0","241.79K","151.07K","90.72K","-907.2%","268.2","50.0%","26.6","0.7","0","31.05"
"SEDG","50%","3","66.7","121.93K","38.48K","83.45K","100.0%","29.0","66.7%","15.9","1.7","0","57.04"
"OKTA","29%","2","100.0","82.50K","0.00","82.50K","-859275.0%","1.0","100.0%","0.7","1.0","0","79.01"
"WBD","29%","4","75.0","125.66K","45.75K","79.91K","-167.6%","106.0","75.0%","-7","0.9","0","65.15"
"SQ","39%","22","59.1","889.30K","811.83K","77.48K","100.0%","69.4","59.1%","11.5","0.7","0","81.33"
"CCJ","17%","3","66.7","108.73K","31.80K","76.94K","100.0%","31.3","66.7%","11.7","2.5","0","43.23"
"TOL","20%","1","100.0","75.95K","0.00","75.95K","-370.3%","211.0","100.0%","17.6","2.5","0","37.95"
"XLY","60%","3","66.7","109.51K","34.00K","75.51K","75.3%","222.7","66.7%","12.4","0.6","0","27.58"
"GNRC","40%","4","75.0","100.20K","26.00K","74.20K","-205.5%","53.5","75.0%","8.3","2.1","0","53.01"
"ORCL","20%","2","100.0","72.72K","0.00","72.72K","85.4%","39.5","100.0%","-0.8","0.4","0","28.57"
"MET","40%","2","50.0","100.65K","28.05K","72.60K","32.1%","305.5","50.0%","21.3","0.5","0","20.99"
"APLS","67%","6","66.7","190.07K","118.26K","71.81K","82.0%","50.0","66.7%","89.2","1.7","0","212.52"
"AR","35%","6","33.3","254.82K","184.08K","70.75K","-20.4%","102.5","33.3%","13.6","0.9","0","57.79"
"XOM","57%","33","54.5","1.27M","1.20M","69.78K","93.9%","109.2","54.5%","5.3","0.8","0","27.51"
"GSK","25%","2","100.0","68.45K","0.00","68.45K","-49.6%","106.0","100.0%","0.3","0.7","0","23.94"
"LYV","8%","1","100.0","67.90K","0.00","67.90K","18.4%","29.0","100.0%","8.8","1.3","0","39.36"
"ABBV","44%","4","75.0","96.13K","28.38K","67.75K","100.0%","191.8","75.0%","18.8","0.5","0","23.57"
"USO","17%","1","100.0","66.00K","0.00","66.00K","100.0%","1.0","100.0%","0.7","0.6","0","33.7"
"UPST","70%","16","50.0","445.99K","381.40K","64.58K","0.4%","53.5","50.0%","11.1","0.8","0","119.78"
"NEM","67%","4","75.0","89.20K","28.77K","60.43K","100.0%","22.0","75.0%","0.5","1.4","0","37.19"
"SIVB","88%","7","42.9","330.10K","270.49K","59.61K","23.8%","29.0","42.9%","3.8","5.0","0","50.07"
"QSR","40%","2","100.0","57.60K","0.00","57.60K","-233.9%","29.0","100.0%","-2.5","10.0","0","70.3"
"AGNC","20%","1","100.0","45.90K","0.00","45.90K","-112.9%","701.0","100.0%","15.3","0.7","0","28.06"
"KWEB","23%","7","57.1","149.30K","105.54K","43.76K","100.0%","190.0","57.1%","13.8","0.7","0","47.55"
"DKNG","16%","9","66.7","374.11K","333.76K","40.35K","85.3%","34.4","55.6%","2.6","0.9","0","132.86"
"NET","60%","15","60.0","517.05K","477.27K","39.77K","100.0%","115.3","60.0%","17.7","0.6","0","72.98"
"TBT","38%","3","66.7","87.60K","48.00K","39.60K","-334.4%","33.7","66.7%","-2.7","5.0","0","36.12"
